enzyme,n_sites,mean_%_GC_content,mean_%_CpG_content,%_sites_protein_coding_genes,%_sites_exons,%_sites_introns,%_sites_non_coding_RNA_genes,%_sites_intragenic,%_sites_intergenic,%_sites_CGI,%_sites_shores,%_sites_shelves,%_sites_CGI_promoters,%_sites_non_CGI_promoters
BstENI,815544,49.8773682763,0.706037319875,44.4920200504,4.13981342515,40.5438578421,6.46096347959,47.3499897001,52.6469448613,1.33873831455,5.8106000412,4.00002942821,2.26866974682,1.53566208568
BstEII,335917,48.2908934704,0.727118603703,46.647237264,4.28528475784,42.5652765415,6.95022877675,49.4997276113,50.4928300741,1.70994620695,5.60376521581,3.95931137751,2.39225761126,1.48042522409
FokI,5138760,45.7705637938,0.553804692183,44.5796845932,3.42679946135,41.3111334252,7.10729825872,47.0779721178,52.9215413835,0.809202998389,4.33164810188,3.50353003448,1.67396414699,1.29167347765
BciT130I,9855710,52.0336338946,0.692904164185,48.6358060454,3.78624168122,45.0344521095,6.24221897763,51.919526853,48.080219487,1.42810614355,6.16318864902,4.78458680298,2.50422344002,1.61557107504
BsiSI,2317795,57.4104817675,1.70991131657,53.0508090664,8.96761792997,44.4911650944,5.46709264624,58.4074519101,41.5914694785,12.1291572378,10.4797447574,6.30590712293,9.80833076264,1.83458847741
AjnI,9855710,52.1062441414,0.69289295241,48.6355828246,3.79833619293,45.0222155481,6.24232044165,51.9195572922,48.0801890478,1.42810614355,6.16283352493,4.78472885261,2.50422344002,1.61555078224
XbaI,851053,37.8679326438,0.339590013783,40.4937177826,1.64537343738,38.9405830189,7.18321890646,42.3033583102,57.6937041524,0.152516940778,2.40173056202,2.27377143374,0.948119564821,0.945652033422
BglII,774782,39.5777510642,0.380478895999,42.3526875947,2.59956994355,39.8696665643,7.66447852428,44.325629661,55.6711436249,0.262525458774,2.83486193536,2.52638806787,1.14638698369,1.03396826462
BalI,1302385,49.1144698507,0.496671337585,47.0005413146,3.13616941227,44.0179363245,6.38996917194,49.8532308035,50.1448496412,0.638213738641,4.57053789778,4.16343861454,1.75178614619,1.36910360608
Bpu10I,2384483,52.438148456,0.522390388189,48.3931317606,2.60027016339,45.9266432178,6.06253011659,51.6074134309,48.3915381238,0.881910250566,5.0643682509,4.52307691017,2.16747194256,1.46371351777
BaeGI,1999659,52.5519428103,0.952029320999,48.8137227397,4.80686957126,44.2358922196,6.34213133339,52.2403569809,47.758392806,3.14163564888,7.30694583426,5.07361505137,3.3876275905,1.66388369217
BpuEI,1963328,45.6201000969,0.419706844705,45.8637069303,2.33170412687,43.6510353848,6.70290445611,48.4956665417,51.5030601102,0.373804071454,3.73798978062,3.50129983375,1.54278857124,1.24492698113
EcoT22I,923795,36.2503466973,0.368707559578,41.8606942016,1.87076137022,40.0849755628,7.85737095351,43.628185907,56.3691078648,0.0844343171375,2.28589676281,2.24855081485,0.819770620105,0.942200379954
BseGI,5138760,45.6511966142,0.553688788735,44.5794316139,3.50417221275,41.2354342293,7.10696743962,47.078633756,52.9208797453,0.803715293184,4.33727202671,3.50084456172,1.67476200484,1.29241295565
BssT1I,3114179,48.2832399809,0.581440148431,45.5813875824,3.38583620274,42.3558825617,6.91212675957,48.308976459,51.6902207612,0.894874700523,4.72031312266,3.78892799675,1.91565738514,1.39507073935
FauNDI,903413,36.3666438593,0.288070572374,40.2715037309,1.53916315129,38.806614472,7.91022489161,41.8616955922,58.1355371242,0.0557884378463,1.78135581401,2.00893721919,0.67831656175,0.813692076603
PacI,152172,26.1505079246,0.328055752701,42.0911862892,1.30444497017,40.8498278264,7.72481139763,43.7899219304,56.1936492916,0.0565149961885,2.09696921904,2.16268433089,0.820124595852,0.876639592041
Acc36I,1434570,48.7197261135,0.672804742885,44.7990687105,4.34645921774,40.6511358804,6.50306363579,47.4434151,52.5548422175,1.48086186105,5.2532814711,3.92319649791,2.07107356211,1.42892992325
Bse1I,5741381,44.9648192046,0.500834259214,44.4508037352,3.2682206598,41.3379115582,7.16444353719,46.880114732,53.1194498327,0.647892902422,3.98677600389,3.22088013319,1.61619652136,1.23062726546
SspI,2377328,29.0584640112,0.287367582429,40.5251610211,1.48860401257,39.1103373199,7.90357914432,42.0842643506,57.9146840486,0.0288138616127,1.74237631492,1.86520328705,0.695023993324,0.833036080844
AlwNI,1443366,49.4192464429,0.689444534512,45.5021803202,4.53911204781,41.1772204694,6.59430802721,48.2401553036,51.7581126339,1.19581589146,5.58985039138,4.11565742854,2.08311682553,1.52421492539
AcuI,2170438,43.7884594562,0.494415459,44.4094233514,3.64451783465,40.9308167292,7.24425208184,46.736373027,53.2624751317,0.526806110103,3.69386271342,3.05643377051,1.47292850567,1.23698534581
TaqI,1603425,45.8785091919,0.69372094111,44.7608088935,4.74141291298,40.2144160157,6.10231223787,47.6874191184,52.3110217191,2.02479068245,5.22606295898,3.69427943309,2.85108439746,1.27527012489
Bst6I,2271693,43.2083695189,0.527445213768,43.7640561467,3.56399390235,40.3667661079,7.49467467655,46.0849683474,53.9139311518,0.764451886765,3.84167226822,2.96950336159,1.67531440208,1.27763742724
MlyI,3931760,45.5545765811,0.572174089975,45.1021425519,3.02734653183,42.2230756709,6.9687112133,47.8336164974,52.165747655,1.08040673897,4.45289132602,3.61792174497,2.02896412802,1.36196003825
PciI,1068035,37.3825419946,0.345197863366,42.0040541743,1.84235535352,40.2518644052,7.67418670736,43.8297434073,56.1679158455,0.108048893529,2.26762231575,2.34786313183,0.795760438562,0.951747835979
Asp700I,1047083,37.4295847753,0.380225636363,40.8376413331,2.78487951767,38.1822644432,7.27220287217,42.6553577892,57.3422546255,0.28536419749,2.55672186446,2.26142531203,1.03563900856,0.962387890931
PpuMI,1085192,51.6602062349,0.914970161962,46.9586027173,4.83813002676,42.3500173241,6.77751033918,50.2617969908,49.7358992694,2.74744008434,7.33003929259,4.67640749287,3.35747038312,1.66661752022
BmcAI,543848,37.8329663202,0.361528772745,46.1617952075,2.52497021227,43.7539533105,7.19557670526,48.1561024404,51.839300687,0.223224136156,2.69983524808,2.55236757329,1.1286241744,1.04790309057
BtsIMutI,8765312,47.5937677927,0.487706815228,46.3559882409,2.88689096292,43.6065481754,6.69013265016,48.9516288753,51.0480859095,0.505401290907,4.08999702464,3.66915632895,1.55038405935,1.27539099578
BstDSI,1171875,51.2310192537,1.13326199467,47.2147626667,6.50308266667,41.0052266667,6.74286933333,50.542592,49.4552746667,5.93117866667,6.56418133333,4.472576,4.655616,1.50340266667
BstKTI,7199507,44.9264640529,0.423648258138,44.8304029706,2.74475738408,42.2135154532,6.94483663951,47.3136841175,52.6859686365,0.559885558831,3.63120697014,3.30347619636,1.59794274802,1.19829038294
AgsI,11047370,36.7220793907,0.313141354006,39.2947823781,1.92358000139,37.4631428114,7.01132486737,41.0705081843,58.9292655175,0.105029522864,2.25106065969,2.23146323514,0.911411494319,0.889342893376
Eco147I,925791,49.266537653,0.59527690375,39.3583432978,3.30776600766,36.214329152,5.94475426959,41.867656955,58.1296426515,1.04656450538,4.99270353676,3.5441044469,1.93866650248,1.25341464758
AjuI,1061748,39.7610232248,0.392324261501,38.8648718905,2.56558053323,36.4151380554,6.76563553687,40.7884921846,59.2091532077,0.338780953673,2.8494520357,2.40791600267,1.17005165067,0.997600183848
FalI,2152630,39.6818202972,0.408118115979,44.5298541784,2.71974282622,41.9380478763,7.31769974403,46.651352067,53.3474865629,0.272829050975,3.0083665098,2.72076483186,1.21316714902,1.10780765854
Bsp19I,759648,47.4681939956,0.59021007098,43.970101942,3.9585439572,40.1901933527,7.21083975736,46.3178998694,53.6788091327,0.873694132019,4.15205463583,3.47397742112,1.60469059354,1.33904124015
KpnI,288027,45.2990307124,0.505825842716,44.5361025182,3.48370118079,41.2225242772,7.15280164707,46.6629864561,53.328333802,1.0839261597,3.9135219962,3.03027146761,1.79497061039,1.12176983408
BstX2I,2165277,42.9197689237,0.48684002093,43.3320540513,3.3360165928,40.1445173066,7.3438640876,45.6789593202,54.3198860931,0.750342796788,3.81937276385,3.03397671522,1.667869746,1.21333205867
BclI,738839,39.3974354027,0.365676554703,43.2238958691,2.43260033647,40.9094538864,7.52342526586,45.210932287,54.7856840259,0.145363198207,2.60164934444,2.64604331932,0.978697659436,1.05665781043
MaeIII,7163530,42.0688777138,0.489394265118,44.7613676497,2.73592767811,42.1583772246,7.0660554224,47.1428750909,52.8567759191,0.641499372516,3.69094566506,3.12468852647,1.52370409561,1.2160205932
PaeR7I,121359,51.6097672146,1.01681127893,49.1681704694,6.24922749858,43.1760314439,6.16765134848,52.8143771785,47.1650227836,4.62841651629,7.19600524065,4.57568041925,4.5830964329,1.51121878064
BbsI,1459607,41.6264963739,0.4817103508,42.8722937065,3.46737169663,39.5611969523,7.45241698622,45.0477423032,54.950544907,0.672646815204,3.43071799464,2.79945218131,1.45114404083,1.1406495036
BspMAI,1321521,50.7490277675,0.714365795171,46.8023587972,4.67378119606,42.3372008466,6.46747195088,49.6465058066,50.3516024339,1.52120170622,5.64606994516,4.21393227955,2.2580798943,1.50440288123
SbfI,77604,55.8517054288,1.15485284264,50.6958404206,7.23158600072,43.7722282357,6.20973145714,53.9559816504,46.0118035153,2.88644915211,8.92350909747,5.77289830421,3.09777846503,1.9651048915
MseI,19214823,31.4687709921,0.329477508068,43.3502874317,1.74003684551,41.7036055966,7.56752742401,45.1384277649,54.8614421273,0.084158984967,2.2819986424,2.20202392705,0.920752691815,0.922964525877
SmiI,225463,26.4743271983,0.319278551248,43.1378984578,1.643285151,41.579327872,7.80970713598,44.7195326949,55.2693790112,0.0377001991458,1.9191619024,1.94488674417,0.762874618008,0.890611763349
Bsp1286I,4861403,51.6568421702,0.869325254458,47.9075690701,4.5106937236,43.6103322436,6.48041316468,51.1512005896,48.8482851555,2.6898613425,6.59231501688,4.65211380336,3.08583756582,1.6042282444
TatI,2729853,37.3480939286,0.354229586721,44.3460508679,2.48244136223,41.9861069442,7.24251452368,46.2871810314,53.7119031684,0.178104828355,2.59882125521,2.54185848102,1.02778427996,1.01276515622
Csp6I,5115163,39.5213032544,0.409765690751,44.7074316107,2.80931418999,42.033342828,7.18671135211,46.76017167,53.239339587,0.483953297285,3.03053881176,2.7077924985,1.28891298283,1.05779620317
BsaJI,9555837,53.374616894,0.868203434194,48.9076781029,4.48209821913,44.6401503081,6.22297136295,52.4467296795,47.5530087003,3.16183710543,6.78703498187,4.92111784661,3.60534613556,1.63493789189
HpyCH4V,14824445,43.7908696059,0.450639649579,42.5264554592,2.59868076006,40.051543245,7.00091639181,44.8068173884,55.1930139712,0.514649958228,3.53993016265,3.08977503036,1.37977509445,1.12930366027
BtsI,2946042,53.1648327184,0.456274791738,48.4221202549,2.44918436329,46.0948961352,6.03368858964,51.47893343,48.5202179738,0.581797543959,4.56721255162,4.36867498834,1.87227473335,1.367292116
FatI,13815795,42.7241018708,0.41405497114,43.5437482968,2.40040475412,41.2565907355,7.30295288834,45.694352008,54.3054670397,0.317781206221,2.99461594501,2.99086661318,1.1120243171,1.10881784219
BciVI,696148,39.7943002372,0.387417905388,42.596976505,2.39762234467,40.3180070904,7.3888023811,44.6285847262,55.3678240834,0.381097123026,2.9028310072,2.54859598821,1.25231990898,1.03225176256
BsaWI,280313,50.5935920789,1.21254133772,48.4554765566,8.31998515945,40.5004405789,6.50736854873,52.660775633,47.3303057653,6.22197329414,8.95463285684,4.68404961597,6.2897546671,1.77765569203
Hpy188I,8942250,40.9702981309,0.480409583718,42.1585730661,2.90450390003,39.3914618804,7.14556179932,44.3120691101,55.6876513182,0.654208951886,3.4107299617,2.75309905225,1.45492465543,1.14865945372
PflFI,709867,43.4024517222,0.437769469492,49.9609081701,2.2161897933,47.8615008164,5.66430049573,53.2515245814,46.7449536322,0.711541739509,4.83470847356,4.63847453114,2.14406360628,1.39364134408
XcmI,821050,48.7226755104,0.671454113635,45.5481395774,4.4860848913,41.2602155776,6.9666889958,48.3214176969,51.6755374216,1.04463796358,5.3877352171,3.95201266671,1.96370501188,1.49077400889
AgeI,53436,49.0463949435,0.971668912344,47.241559997,6.42076502732,41.0884048207,6.65468972228,50.8103151433,49.1428999177,4.01414776555,7.86174114829,4.07028969234,4.4483119994,1.57197395015
Ama87I,1005767,59.300630818,1.38489699901,52.7293100688,6.64527668933,46.3921564338,5.37162185675,57.6167243507,42.3807899842,8.75640183064,9.48887764263,6.08550489328,7.60573771062,1.74274956327
BsmI,1544720,40.7782643919,0.348953985188,33.6454503081,1.9756978611,31.7647858512,5.91168626029,35.321546947,64.6768346367,0.305815940753,2.47824848516,2.13190740069,0.997268113315,0.851222227977
Tsp45I,4021823,44.9356493299,0.56669264162,45.4634627133,3.14295283507,42.4670603356,6.92576475892,48.0771779365,51.9222004549,0.905509765099,4.32197040994,3.55488046093,1.74627277232,1.33837317057
AflIII,1465199,39.0522981715,0.456818152347,42.946794258,2.32282440815,40.7359682883,7.47912058362,45.0173662417,54.9809275054,0.650287094108,3.15888831483,2.73068709438,1.21109828767,1.03535424198
AsuHPI,6007441,45.4671629511,0.525649323897,45.303915594,2.78654422074,42.6553835485,6.73564667551,47.961519722,52.0380641275,0.862796655015,4.38392986298,3.74422320585,1.81857799353,1.32915163045
AflII,643335,38.0287972154,0.37776570527,45.1511265515,2.04325895529,43.2266237652,7.32479967668,47.2669759923,52.7291380074,0.177978813526,2.93564006311,2.552635874,1.22813153334,1.03196623843
BbvI,5004822,50.3802871335,0.859522136851,46.6544464518,5.68643600112,41.2307970194,6.70789091001,49.6002854847,50.3992149971,3.01125594477,5.88920045508,4.15437352218,3.09685339459,1.53094355803
MluCI,21767378,32.7143373459,0.312347210583,41.5972700065,1.6665259362,40.0144932476,7.63578874773,43.3793863459,56.6204988033,0.0737571608303,2.14045991208,2.19790367035,0.878874800631,0.907284285687
MboII,8937596,40.0626782416,0.427074450445,41.1613704625,3.08941017249,38.2111028514,7.33097580155,43.135682123,56.8640381597,0.468235530002,2.98858887781,2.52453791825,1.26071932542,1.08215900562
BshFI,8562329,52.7721638773,0.910687477671,47.9963220287,4.97744246922,43.2574711857,6.1485607479,51.454855332,48.5448526914,3.50843794953,6.84622139607,4.87960693872,3.745651446,1.57930161291
PasI,587448,56.2764346671,1.08213629121,49.8833939344,4.85608939004,45.2792417371,6.16292846346,53.6970080756,46.2987362286,2.58473941523,9.17493973935,5.71897427517,3.49733082758,2.05447971565
BseMII,9779214,47.9797749909,0.521528632056,44.5688988911,2.72633362968,41.9766251153,6.49932601945,47.2750570751,52.7246872806,0.692877771158,4.39693824064,3.76711257162,1.76116403629,1.35624396807
AcsI,6382500,32.5141068872,0.315544128476,41.1823110067,1.86762240501,39.4069408539,7.61317665492,42.9055385821,57.0940697219,0.0893380336859,2.10865648257,2.08592244418,0.857626321974,0.904175479828
BfaI,8059660,41.5080850231,0.401241268242,42.6577423862,1.88401247695,40.8772330346,7.11665256351,44.8611603963,55.1385294169,0.420662906376,3.14643545758,2.72688922361,1.39839645841,1.08119945506
BstNSI,3077589,41.2503537949,0.415390099198,43.6062125255,2.17478682176,41.5365729472,7.38451430649,45.6984022233,54.3007854525,0.325871973158,2.91569147147,2.84888592986,1.06391724171,1.08068361305
AanI,1647967,29.1862937608,0.284146223802,41.5783811205,1.46835464545,40.1862415934,7.86605557029,43.1054748062,56.8930081731,0.0325856039593,1.61969262734,1.88159107555,0.645826038992,0.837456089837
BamHI,366050,47.9743969439,0.695761507991,44.8187406092,4.50157082366,40.5135910395,6.94577243546,47.8355415927,52.1576287392,1.90766288758,5.49378500205,3.82652643082,2.74197514001,1.49924873651
DraI,3423987,28.5536520262,0.328674320317,44.7968114365,1.77836539683,43.1147664988,7.41851531562,46.5931967616,53.4060730955,0.0661509520918,2.32804622214,2.24720479371,0.913087578896,0.946995417915
EcoO109I,2183940,53.7808306194,1.0331735762,48.3130946821,5.30573184245,43.2629101532,6.51400679506,51.8605364616,48.1383188183,3.27298369003,8.19486799088,5.15984871379,3.75390349552,1.78860225098
BplI,2034976,46.615679128,0.503770855283,47.4335815263,2.50248651581,45.0609245514,6.00670474738,50.6030537952,49.3957176891,0.935441007658,4.86059786454,4.42476962873,2.17501336625,1.41711745003
BccI,6107180,44.4727250539,0.489597555664,44.6513284364,3.04862473351,41.7464197879,6.95150625984,47.1093368789,52.8902537669,0.635350521845,3.98570207526,3.50074829954,1.5391719255,1.24319243906
BfmI,3531072,46.7627651894,0.495173193863,45.2801019067,3.11667391659,42.3146285321,6.74905524441,47.7605950827,52.238696917,0.725105577003,4.02090356696,3.47866030486,1.63465938956,1.25018691208
BanII,2354779,53.8861707567,0.988402690868,48.6082982734,5.05461446701,43.7895021146,6.33040298049,52.1532169261,47.8457214032,3.60004059829,7.37343079754,4.98755934209,3.85547858207,1.7222422996
